product_id,product_name,category,subcategory,brand,supplier,cost,selling_price,launch_date
PROD1000,Classic Beauty Tool 175,Beauty,Beauty Tools,Meadowlane,Supplier_039,24.33,54.6,2023-04-18
PROD1001,Portable Smart Home 131,Electronics,Smart Home,UrbanEdge,Supplier_005,64.36,89.0,2025-10-04
PROD1002,Portable Bag 414,Accessories,Bags,Northstead,Supplier_024,10.77,21.73,2024-08-24
PROD1003,Portable Outerwear 410,Fashion,Outerwear,Lumio,Supplier_040,51.62,88.29,2025-08-03
PROD1004,Signature Tech Accessorie 946,Accessories,Tech Accessories,UrbanEdge,Supplier_024,31.95,58.14,2025-06-10
PROD1005,Everyday Home Decor 739,Home & Kitchen,Home Decor,Lumio,Supplier_017,40.78,64.66,2025-02-09
PROD1006,Classic Smart Home 208,Electronics,Smart Home,UrbanEdge,Supplier_005,134.61,180.83,2023-03-11
PROD1007,Everyday Outdoor Equipment 965,Sports & Outdoors,Outdoor Equipment,TrueForm,Supplier_002,155.39,260.61,2023-01-28
PROD1008,Premium Small Appliance 729,Home & Kitchen,Small Appliances,Everly,Supplier_017,85.71,150.9,2023-04-18
PROD1009,Premium Footwear 346,Fashion,Footwear,Meadowlane,Supplier_023,67.67,121.39,2023-04-12
PROD1010,Classic Bag 679,Accessories,Bags,TrueForm,Supplier_012,13.23,24.74,2025-02-07
PROD1011,Deluxe Athletic Wear 544,Sports & Outdoors,Athletic Wear,Northstead,Supplier_026,132.8,213.7,2023-05-16
PROD1012,Classic Chargers & Cable 841,Electronics,Chargers & Cables,Everly,Supplier_031,144.61,214.85,2025-04-01
PROD1013,Smart Haircare 648,Beauty,Haircare,UrbanEdge,Supplier_017,34.57,86.11,2024-05-20
PROD1014,Signature Beauty Tool 688,Beauty,Beauty Tools,Verona Basics,Supplier_030,17.38,46.51,2024-11-17
PROD1015,Ultra Fitness Gear 680,Sports & Outdoors,Fitness Gear,Verona Basics,Supplier_038,78.84,118.79,2024-07-26
PROD1016,Compact Fragrance 847,Beauty,Fragrance,Verona Basics,Supplier_030,7.96,16.39,2024-10-27
PROD1017,Signature Small Appliance 275,Home & Kitchen,Small Appliances,Verona Basics,Supplier_030,49.29,85.76,2023-02-12
PROD1018,Essential Chargers & Cable 653,Electronics,Chargers & Cables,Craftly,Supplier_040,225.91,286.49,2024-02-24
PROD1019,Pro Apparel 988,Fashion,Apparel,Meadowlane,Supplier_023,71.39,132.53,2024-12-01
PROD1020,Essential Outerwear 971,Fashion,Outerwear,Everly,Supplier_003,40.09,70.97,2025-04-15
PROD1021,Smart Beauty Tool 928,Beauty,Beauty Tools,Everly,Supplier_023,36.18,78.92,2024-08-11
PROD1022,Smart Haircare 416,Beauty,Haircare,Pulse,Supplier_037,13.27,29.86,2023-07-10
PROD1023,Classic Storage & Organization 278,Home & Kitchen,Storage & Organization,Craftly,Supplier_038,55.88,101.06,2024-06-17
PROD1024,Pro Home Decor 220,Home & Kitchen,Home Decor,Meadowlane,Supplier_008,88.43,160.73,2024-03-03
PROD1025,Compact Smart Home 525,Electronics,Smart Home,Everly,Supplier_006,166.48,228.16,2023-05-10
PROD1026,Essential Athletic Wear 314,Sports & Outdoors,Athletic Wear,Meadowlane,Supplier_038,14.56,23.52,2023-12-14
PROD1027,Smart Athletic Wear 481,Sports & Outdoors,Athletic Wear,Lumio,Supplier_003,102.37,149.16,2023-08-28
PROD1028,Essential Small Appliance 593,Home & Kitchen,Small Appliances,Pulse,Supplier_039,69.72,126.14,2025-01-01
PROD1029,Premium Bag 364,Accessories,Bags,TrueForm,Supplier_027,39.89,83.11,2023-03-22
PROD1030,Essential Apparel 117,Fashion,Apparel,Craftly,Supplier_019,36.16,60.2,2024-10-26
